N_LAGS,fit_mode,MSE_mean,MSE_std,DirAcc_mean,DirAcc_std,n_folds
1,fit_with_cache,0.0011353524326854244,0.00044492460965526987,0.5185576328433472,0.06763360417160234,5
2,fit_with_cache,0.001149177120227454,0.0004710722480522394,0.499036439227195,0.04847387054951433,5
3,fit_with_cache,0.001141725785563642,0.0004511059776865767,0.4988095238095238,0.04723055815446992,5
