N_LAGS,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,MSE_mean,MSE_std,DirAcc_mean,DirAcc_std,n_folds
1,0.8,0.05,3,100,0.8,0.0012190322844521124,0.0005152872154046282,0.5300169575647282,0.03451679761276168,4
1,0.8,0.05,3,150,0.8,0.0012575955944232277,0.0004987024081048734,0.5187774009430061,0.03884147375032423,4
1,0.8,0.05,3,200,0.8,0.0012756882160989504,0.0004934345437637104,0.5171540243196294,0.043052092855045035,4
1,0.8,0.05,4,100,0.8,0.001219359950387101,0.0005055736466464647,0.5268632641244106,0.03941942644191015,4
1,0.8,0.05,4,150,0.8,0.0012565934598434186,0.0004942863243405676,0.5106294978906444,0.037545553982452115,4
1,0.8,0.05,4,200,0.8,0.0012873080084646524,0.00048542623452893497,0.5025436347092398,0.02707943835401215,4
1,0.8,0.05,5,100,0.8,0.0012527806722502583,0.0005220757428577202,0.5189014806849201,0.06549854839780775,4
1,0.8,0.05,5,150,0.8,0.0012890104060236437,0.0005066961157667496,0.5107535776325585,0.05493070989666883,4
1,0.8,0.05,5,200,0.8,0.001305906743722978,0.0005062332018939873,0.5156237075026884,0.05187961564989423,4
