BATCH_SIZE,DROPOUT,HIDDEN_SIZE,NUM_LAYERS,N_EPOCHS,PATIENCE,SEQ_LEN,VALIDATION_SPLIT,MSE_mean,MSE_std,DirAcc_mean,DirAcc_std,n_folds
32,0.2,8,2,100,15,6,0.2,0.0013440208019807262,0.0006387579445770101,0.48985507246376814,0.045427327590311546,5
32,0.2,8,2,100,15,8,0.2,0.0014140152146700192,0.0007828612815862691,0.5101680672268907,0.057537832615152364,5
32,0.2,8,3,100,15,6,0.2,0.0011768008873421364,0.0004115902503198243,0.4943253725250051,0.03483425403579304,5
32,0.2,8,3,100,15,8,0.2,0.0014112664969228536,0.0008416346008879599,0.48504201680672265,0.05874082571437815,5
32,0.2,16,2,100,15,6,0.2,0.001292845673789648,0.0005405678141360603,0.5012859767299448,0.03764522720423898,5
32,0.2,16,2,100,15,8,0.2,0.0023512808071557375,0.0019840060569234308,0.48949579831932777,0.04463358776729067,5
32,0.2,16,3,100,15,6,0.2,0.0012239482083337043,0.0003603025839110145,0.4999591753419065,0.035857540212159235,5
32,0.2,16,3,100,15,8,0.2,0.0012499121357512977,0.0005314502245033521,0.45731092436974785,0.03213750161348769,5
32,0.2,32,2,100,15,6,0.2,0.001825943480620855,0.0009504549509851062,0.49134517248418047,0.04623107513721426,5
32,0.2,32,2,100,15,8,0.2,0.0012381952050861088,0.00043405661818853367,0.529453781512605,0.036712267524942735,5
32,0.2,32,3,100,15,6,0.2,0.0013743422724602683,0.0005308339634211018,0.46972851602367827,0.050316059864585844,5
32,0.2,32,3,100,15,8,0.2,0.0011787656145738157,0.0004699386423730318,0.5118487394957982,0.05157436802097472,5
